agent_family,origin,session_id,first_timestamp,last_timestamp,total_messages,user_messages,assistant_messages,avg_chars,project_name,thread_title,duration_minutes
claude,data_snapshot:kali-aslan-20260319,178ec1fe-da2f-450b-beba-657bb47de8b8,2026-02-27 01:23:41.310000+09:00,2026-02-27 02:32:31.493000+09:00,295,10,285,29.28813559322034,Spresense_demo,,68.83638333333333
claude,data_snapshot:kali-aslan-20260319,18c7fa20-5ac3-4a88-9f59-d0e9ecb05acd,2026-02-27 02:39:28.704000+09:00,2026-02-27 18:56:46.140000+09:00,1195,20,1175,42.779916317991635,Spresense_demo,,977.2906
claude,data_snapshot:kali-aslan-20260319,7131ea53-9546-4c0b-b411-ea8b58cd2a69,2026-02-27 02:33:04.199000+09:00,2026-02-27 02:34:26.226000+09:00,15,2,13,20.066666666666666,Spresense_demo,,1.3671166666666668
claude,data_snapshot:kali-aslan-20260319,ab43f0c8-7111-44ce-917a-30822656abcf,2026-03-08 02:07:08.323000+09:00,2026-03-08 02:07:08.333000+09:00,3,3,0,138.0,root,,0.00016666666666666666
claude,data_snapshot:kali-aslan-20260319,bf41fcd0-aa4a-427d-bf93-53de9ffdb5b1,2026-02-27 02:36:20.448000+09:00,2026-02-27 02:36:32.888000+09:00,6,2,4,35.833333333333336,Spresense_demo,,0.20733333333333331
claude,data_snapshot:kali-aslan-20260319,dc4fad85-6129-4a38-8757-bec50620f421,2026-02-27 02:32:38.642000+09:00,2026-02-27 02:32:38.652000+09:00,3,3,0,132.66666666666666,Spresense_demo,,0.00016666666666666666
claude,data_snapshot:kali-aslan-20260319,fab8e2c2-d24b-4685-9aa8-ace04c34df3c,2026-03-07 22:46:05.384000+09:00,2026-03-07 22:46:16.433000+09:00,5,5,0,1401.2,root,,0.18414999999999998
claude,data_snapshot:prox-200-maki-20260319,036ed76d-1251-4b98-8508-b6aac6b27886,2026-02-09 21:59:24.493000+09:00,2026-02-09 22:06:20.351000+09:00,6,3,3,906.6666666666666,momu,,6.9309666666666665
claude,data_snapshot:prox-200-maki-20260319,049b1b78-0bca-42c7-b5ab-2af058720da1,2026-02-08 03:14:36.378000+09:00,2026-02-08 05:12:03.493000+09:00,366,5,361,82.00819672131148,sample08,,117.45191666666666
claude,data_snapshot:prox-200-maki-20260319,04be7aa6-04e3-4dc6-86d6-31c244d2c94c,2026-02-10 01:07:26.763000+09:00,2026-02-10 01:18:11.265000+09:00,17,6,11,218.64705882352942,nannj,,10.7417
