agent_family,origin,session_id,project_name,thread_title,token_source,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens,total_tokens,first_timestamp,project_or_title
codex,local_home,019cec48-2f9e-7d83-936a-b4776d83c4ce,video-background-remover,"アップロードしたmp4をweb / gifにするタブも欲しいです
FPSやリサイズ比、ダウンロードボタンとか欲しいです
プレビューやダウンロードボタンは MatAnyone2 タブを参考にっして",codex_token_count,102108845,94883456,463946,189179,102572791,2026-03-15 17:06:32.862000+00:00,video-background-remover
codex,local_home,019cf4e1-7ad6-74f1-8ed7-165b417ae104,harina-v3,"Discordに送信して認識するときで、エラーの場合は
キーローテーションしてもエラーの場合は１時間待って再度トライするようにしてほしい
また、ドライブからの認識ではエラーで処理が完了してない場合は移動しないでほしいけど大丈夫そうか確認っして",codex_token_count,87692439,78275968,422135,185242,88114574,2026-03-18 14:08:22.986000+00:00,harina-v3
codex,local_home,019c7b8d-3454-7713-89d7-925d2916297d,antigravity-discord-bot,現状の変更でブランチを作成して、こまめにコミットして,codex_token_count,64860644,60912256,233955,111889,65094599,2026-02-20 19:34:49.362000+00:00,antigravity-discord-bot
codex,local_home,019d01a2-9d5d-7ab0-ba91-b3ad4ed994b7,MysticLibrary,"raw\twitter-2026-03-16-6b1dc95fdd94290f9647655262ead4d269c8bab92289bd687e0490c25bacce7c
にツイート情報があります

基本プロンプトはツイートにもして成果物のデモ動画や画像を記載してます

「ーーー📒プロンプトーーー」

ってキーワードを検索してください！

このツイート情報からプロンプトを抽出して
docsの内容を更新してください
既にある場合は ツイートを表示してください

下記のコードが参考になるかも！！
```
<blockquote class=""twitter-tweet"" data-media-max-width=""560""><p lang=""ja"" dir=""ltr"">中二病 GPT5.3Codex Spark軍団のスキル ✖ Codex Appサブエージェントで遊んでみる❷<br><br>上限の６体を召喚してぶん回してるけど、いい感じにSparkの余力を使えてそうな感じがする、、、 <a href=""https://t.co/0Q0mUhxR9Y"">https://t.co/0Q0mUhxR9Y</a> <a href=""https://t.co/kc9GPLDw83"">pic.twitter.com/kc9GPLDw83</a></p>&mdash; Maki@Sunwood AI Labs. (@hAru_mAki_ch) <a href=""https://twitter.com/hAru_mAki_ch/status/2034266944665481307?ref_src=twsrc%5Etfw"">March 18, 2026</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
```",codex_token_count,62490072,56658048,330457,144229,62820529,2026-03-19 05:45:59.926000+00:00,MysticLibrary
codex,local_home,019ceb8c-abc6-7e03-8bd8-240f31dd01a1,onizuka-game-agi-co,"Automation: ONIZUKA Game AGI Co. CEOレビュー
Automation ID: onizuka-game-agi-co-ceo
Automation memory: $CODEX_HOME/automations/onizuka-game-agi-co-ceo/memory.md
Last run: 2026-03-13T06:13:53.972Z (1773382433972)

D:\\Prj\\onizuka-game-agi-co\\CEO_REVIEW.md を最初に読み、この指示に従ってレビューを実施する",codex_token_count,52413269,47485952,249514,87510,52662783,2026-03-14 15:34:10.077000+00:00,onizuka-game-agi-co
codex,local_home,019cd6c4-adb9-72e2-b191-b7a71bd888ae,gas-slack-bot-gemini,"[$gas-slack-bot](D:\\Prj\\gas-slack-bot-skill\\SKILL.md) と D:\Prj\onizuka-playwright-profile を使って
GASでGemini APIを使ったSlack Botを構築して！
Geminiの良さを活かすために添付画像とかファイルにも対応するようにしてね！",codex_token_count,51849677,48261504,201345,73205,52051022,2026-03-10 17:22:50.292000+00:00,gas-slack-bot-gemini
codex,local_home,019cf721-32e5-73d3-8307-ffbd1466720c,onizuka-game-agi-co,"[$codex-spark-eclipse-legion](D:\\Prj\\codex-spark-eclipse-legion\\SKILL.md) [$draw-io](D:\\Prj\\draw-io-skill\\SKILL.md)  AWSの構成図っぽくこのプロジェクトを可視化して
下記のカラーを参考にしてサイバーパンク風にして

<palette>
<color name='CYBER-SAMURAI-|-Game-Art-1' rgb='F205B3' r='242' g='4' b='178' />
<color name='CYBER-SAMURAI-|-Game-Art-2' rgb='180D40' r='23' g='12' b='63' />
<color name='CYBER-SAMURAI-|-Game-Art-3' rgb='2B1C8C' r='43' g='28' b='140' />
<color name='CYBER-SAMURAI-|-Game-Art-4' rgb='0597F2' r='4' g='151' b='242' />
<color name='CYBER-SAMURAI-|-Game-Art-5' rgb='05DBF2' r='4' g='218' b='242' />
</palette>

マテリアルデザインの知識も活用してね",codex_token_count,50960572,45481728,331838,162554,51292410,2026-03-17 08:22:57.624000+00:00,onizuka-game-agi-co
codex,local_home,019ce31c-6195-7413-a7b1-d0f730380e81,video-background-remover,"このCLIとアプリの構成が相当ぐちゃぐちゃになってきました！
なるべく共通化したいです！

どんな構成にしたらいいかな？？",codex_token_count,49069511,45062400,182564,69739,49252075,2026-03-14 11:59:23.231000+00:00,video-background-remover
codex,local_home,019d0249-11b7-7652-87ae-ad139c039c67,onizuka-game-agi-co,"構成図がヘッダー画像のロゴのカラーマップになってるか確認して


docs\onizuka-game-agi-company-structure.ja.drawio",codex_token_count,45280078,41743232,314591,118680,45594669,2026-03-19 07:10:02.574000+00:00,onizuka-game-agi-co
codex,local_home,019cde5f-8bbf-7410-9f70-3246ecf02495,video-background-remover,"D:\Prj\MatAnyone
を参考にして Gradioのアプリを作成して

MatAnyoneのアプリの機能はちゃんと全部使えるようにして！そのうえでwebp や gif機能を付与して！",codex_token_count,45317707,41654912,185805,65831,45503512,2026-03-12 14:50:35.504000+00:00,video-background-remover
claude,local_home,3baabcb3-8def-44ff-9084-3f2c823f4c0f,workspace,,claude_message_usage,44792577,0,80216,0,44872793,2026-03-18 16:39:43.020000+00:00,workspace
codex,local_home,019cf1f3-6cdb-7031-9881-afac5a1e0446,godot-sandbox,[$codex-spark-eclipse-legion](D:\\Prj\\codex-spark-eclipse-legion\\SKILL.md) WindowsでのGoDotの使い方を教えて,codex_token_count,42862382,37986176,302592,156706,43164974,2026-03-16 12:29:10.250000+00:00,godot-sandbox
codex,local_home,019cd892-d9c6-7381-bb94-1ffa81b3d833,MatAnyone,"検証開発がしやすいように
今のGradioアプリのコアな部分はCLI化して
CLIでもアプリでも使えるようにして
共通化できる部分は共通化してね",codex_token_count,40447344,38482560,138276,49571,40585620,2026-03-11 08:21:52.212000+00:00,MatAnyone
codex,local_home,019ce20f-84b2-7552-84af-bee2d77001ab,onizuka-game-agi-co,[$draw-io](C:\\Users\\Aslan\\.codex\\skills\\draw-io\\SKILL.md)  で このAGIカンパニーの構成を 可視化して！,codex_token_count,39563918,36155776,220307,72956,39784225,2026-03-14 07:09:00.286000+00:00,onizuka-game-agi-co
